stoxx_id,name,isin,sedol,ric,date,ADTV_3M_EUR
055768,HOWDEN JOINERY GRP,GB0005576813,0557681,HWDN.L,12/18/2023,17796424.8917039
056540,MARKS & SPENCER GRP,GB0031274896,3127489,MKS.L,12/18/2023,21220919.8174046
056841,MARSHALLS,GB00B012BV22,B012BV2,MSLH.L,12/18/2023,2737369.85671312
060272,MORGAN ADVANCED MATERIALS,GB0006027295,0602729,MGAMM.L,12/18/2023,1620420.23915758
061403,Paragon Banking Group PLC,GB00B2NGPM57,B2NGPM5,PAGPA.L,12/18/2023,2467396.4519151
062152,MOBICO GROUP,GB0006215205,0621520,MCG.L,12/18/2023,2482406.3170817
064623,UNITED UTILITIES GRP,GB00B39J2M42,B39J2M4,UU.L,12/18/2023,24194240.388931
067760,PEARSON,GB0006776081,0677608,PSON.L,12/18/2023,20368334.1477354
068253,PERSIMMON,GB0006825383,0682538,PSN.L,12/18/2023,15706058.0972584
070550,VANQUIS BANKING GROUP,GB00B1Z4ST84,B1Z4ST8,VANQ.L,12/18/2023,532186.700375727
070995,PRUDENTIAL,GB0007099541,0709954,PRU.L,12/18/2023,68796181.786022
071887,RIO TINTO,GB0007188757,0718875,RIO.L,12/18/2023,161961759.160212
071921,VODAFONE GRP,GB00BH4HKS39,BH4HKS3,VOD.L,12/18/2023,62518206.2502134
072769,RECKITT BENCKISER GRP,GB00B24CGK77,B24CGK7,RKT.L,12/18/2023,101855608.021002
073087,RELX PLC,GB00B2B0DG97,B2B0DG9,REL.L,12/18/2023,102491465.92378
073303,RENTOKIL INITIAL,GB00B082RF11,B082RF1,RTO.L,12/18/2023,46638978.2066126
073892,OLD MUTUAL,ZAE000255360,BDVPYN5,OMUJ.J,12/18/2023,6463665.27794307
074776,ROLLS ROYCE HLDG,GB00B63H8491,B63H849,RR.L,12/18/2023,82173343.7706225
075069,ROTORK,GB00BVFNZH21,BVFNZH2,ROR.L,12/18/2023,5759365.74969348
075478,NATWEST GROUP,GB00BM8PJY71,BM8PJY7,NWG.L,12/18/2023,51780770.4358019
076680,CLOSE BROTHERS GRP,GB0007668071,0766807,CBRO.L,12/18/2023,2567462.68167146
076764,SAINSBURY (J),GB00B019KW72,B019KW7,SBRY.L,12/18/2023,17014413.2477518
077940,SCHRODERS,GB00BP9LHF23,BP9LHF2,SDR.L,12/18/2023,8693292.25703143
079087,SCOTTISH & SOUTHERN ENERGY,GB0007908733,0790873,SSE.L,12/18/2023,57927262.0631939
079851,SEVERN TRENT,GB00B1FH8J72,B1FH8J7,SVT.L,12/18/2023,32787704.8683288
080216,SAGE GRP,GB00B8C3BL03,B8C3BL0,SGE.L,12/18/2023,36788590.6758502
081410,SEGRO,GB00B5ZN1N88,B5ZN1N8,SGRO.L,12/18/2023,32949664.3745198
081660,SMITH & NEPHEW,GB0009223206,0922320,SN.L,12/18/2023,31250070.8698935
081827,SMITHS GRP,GB00B1WY2338,B1WY233,SMIN.L,12/18/2023,14914987.4141839
082201,DS SMITH,GB0008220112,0822011,SMDS.L,12/18/2023,12190291.1998815
082699,PENNON GRP,GB00BNNTLN49,BNNTLN4,PNN.L,12/18/2023,6213485.74607805
083470,SPIRAX-SARCO,GB00BWFGQN14,BWFGQN1,SPX.L,12/18/2023,18273371.5924819
083860,STANDARD CHARTERED,GB0004082847,0408284,STAN.L,12/18/2023,52332682.8531137
087061,LLOYDS BANKING GRP,GB0008706128,0870612,LLOY.L,12/18/2023,67816203.5445643
087541,TATE & LYLE,GB00BP92CJ43,BP92CJ4,TATE.L,12/18/2023,10768503.3796437
087823,TAYLOR WIMPEY,GB0008782301,0878230,TW.L,12/18/2023,21245941.7461445
087870,CURRYS,GB00B4Y7R145,B4Y7R14,CURY.L,12/18/2023,1514542.90978944
088470,TESCO,GB00BLGZ9862,BLGZ986,TSCO.L,12/18/2023,59794592.7184532
088869,3I GROUP PLC.,GB00B1YW4409,B1YW440,III.L,12/18/2023,51717627.7901696
090399,REACH,GB0009039941,0903994,RCH.L,12/18/2023,547011.325090519
091321,UNILEVER PLC,GB00B10RZP78,B10RZP7,ULVR.L,12/18/2023,176963627.801749
092922,VICTREX,GB0009292243,0929224,VCTX.L,12/18/2023,1568070.57489707
093900,VOLEX,GB0009390070,0939007,,12/18/2023,1289846.03702
094660,WEIR GRP,GB0009465807,0946580,WEIR.L,12/18/2023,12722549.3902397
095298,LONDON STOCK EXCHANGE,GB00B0SWJX34,B0SWJX3,LSEG.L,12/18/2023,109399096.099952
096050,WHITBREAD,GB00B1KJJ408,B1KJJ40,WTB.L,12/18/2023,33471814.9710045
096359,CARNIVAL,GB0031215220,3121522,CCL.L,12/18/2023,9043421.67545995
096970,BABCOCK INTERNATIONAL,GB0009697037,0969703,BAB.L,12/18/2023,4253149.49168486
097404,WPP,JE00B8KF9B49,B8KF9B4,WPP.L,12/18/2023,20143166.0014744
097474,IWG PLC,JE00BYVQYS01,BYVQYS0,IWG.L,12/18/2023,2924624.36787748
097720,MARSTON'S,GB00B1JQDM80,B1JQDM8,MARS.L,12/18/2023,497918.015701372
098111,KINGFISHER,GB0033195214,3319521,KGF.L,12/18/2023,19659025.7182879
098874,SYNTHOMER PLC,GB00BNTVWJ75,BNTVWJ7,SYNTS.L,12/18/2023,1421092.11281447
098952,ASTRAZENECA,GB0009895292,0989529,AZN.L,12/18/2023,229858553.361573
143406,SONOVA,CH0012549785,7156036,SOON.S,12/18/2023,37252887.4247162
143451,COFINIMMO,BE0003593044,4177988,COFB.BR1,12/18/2023,5050862.22464692
154026,CI Financial Corp.,CA1254911003,B3KT0S5,CIX.TO,12/18/2023,5189146.06134378
190462,CHEMRING GRP,GB00B45C9X44,B45C9X4,CHG.L,12/18/2023,3400050.65040459
200237,TFI INTERNATIONAL,CA87241L1094,BDRXBF4,TFII.TO,12/18/2023,23011896.2758919
201164,ALIMENTATION CCH.TARD,CA01626P1484,BL56KN2,ATD.TO,12/18/2023,61161934.6460701
201425,IMAX,CA45245E1097,2473859,IMAX.N,12/18/2023,10477824.4566449
205224,ARC RESOURCES LTD,CA00208D4084,B6463M8,ARX.TO,12/18/2023,35296386.4740783
206061,ATCO CLASS 1,CA0467894006,2060615,ACOx.TO,12/18/2023,5079874.54939507
206192,TMX GROUP,CA87262K1057,B8KH5G7,X.TO,12/18/2023,8538481.78013408
206502,SMART CENTRES,CA83179X1087,BZ22BK5,SRU_u.TO,12/18/2023,4227148.47953576
207734,LAURENTIAN BK.OF CANADA,CA51925D1069,2077347,LB.TO,12/18/2023,3833950.69215809
210762,MARTINREA INTL.,CA5734591046,2107620,MRE.TO,12/18/2023,1183007.27498284
211850,PEMBINA PIPELINE CORP,CA7063271034,B4PT2P8,PPL.TO,12/18/2023,74623664.5520486
213414,H&R RLST.IT.STAPLE UNIT,CA4039254079,BGM8DW6,HR_u.TO,12/18/2023,4530603.29564324
213416,PEYTO EXPLORATION & DEV CORP,CA7170461064,B6775F5,PEY.TO,12/18/2023,8406764.13182808
213545,NOVAGOLD RESOURCES,CA66987E2069,2135450,NG.TO,12/18/2023,637883.569914756
215979,CCL INDS.'B',CA1249003098,2159795,CCLb.TO,12/18/2023,9576470.48776431
217052,Canadian Imperial Bank of Comm,CA1360691010,2170525,CM.TO,12/18/2023,114885429.479542
218559,FIRST CAPITAL REIT,CA31890B1031,BKSLS55,FCR_u.TO,12/18/2023,3794070.01486393
218828,CANADIAN WESTERN BANK,CA13677F1018,2188283,CWB.TO,12/18/2023,6063975.72191326
220576,COGECO COMMUNICATIONS INC.,CA19239C1068,BZCDFX9,CCA.TO,12/18/2023,3668704.78520686
221845,SSR MINING INC. (NAS),CA7847301032,BF7MQ72,SSRM.OQ,12/18/2023,20345710.1955471
222961,RIOCAN REIT.TST.,CA7669101031,2229610,REI_u.TO,12/18/2023,7546545.51813254
224880,RUSSEL METALS,CA7819036046,2248808,RUS.TO,12/18/2023,4294547.08719184
230787,Eldorado Gold Corp.,CA2849025093,BHZJ5Y9,ELD.TO,12/18/2023,3857351.30362941
231800,VERMILION ENERGY INC.,CA9237251058,B607XS1,VET.TO,12/18/2023,10239010.4549916
234539,RB GLOBAL,CA74935Q1072,BMWGSD8,RBA.N,12/18/2023,73402972.1852134
234760,First Quantum Minerals Ltd.,CA3359341052,2347608,FM.TO,12/18/2023,37751962.912899
235023,Colliers International,CA1946931070,BYL7SB4,CIGI.TO,12/18/2023,7017018.4576979
238495,Great-West Lifeco Inc.,CA39138C1068,2384951,GWO.TO,12/18/2023,72708167.0919649
241170,ALAMOS GOLD,CA0115321089,BZ3DNP6,AGI.TO,12/18/2023,7826963.96567394
243979,ALTAGAS,CA0213611001,B43WJC5,ALA.TO,12/18/2023,11869106.2347239
244664,IAMGOLD Corp.,CA4509131088,2446646,IMG.TO,12/18/2023,1854409.3120269
248451,CORUS ENTM.'B' NON VTG.,CA2208741017,2484516,CJRb.TO,12/18/2023,451086.972500345
249231,Kinross Gold Corp.,CA4969024047,B03Z841,K.TO,12/18/2023,15458400.8431634
251122,LABRADOR IO. ORE RTY. CORP,CA5054401073,B8L02P3,LIF.TO,12/18/2023,3420022.63489172
255273,BAYTEX ENERGY CORP,CA07317Q1054,B4VGVM3,BTE.TO,12/18/2023,20455386.4885687
255472,CREW ENERGY,CA2265331074,2554721,CR.TO,12/18/2023,1312959.68574554
256612,Sun Life Financial Inc.,CA8667961053,2566124,SLF.TO,12/18/2023,80249129.4405139
260351,ENERPLUS CORPORATION,CA2927661025,B521G07,ERF.N,12/18/2023,18575320.5973588
260962,MULLEN GROUP,CA6252841045,B4MMW16,MTL.TO,12/18/2023,1933857.39318164
262611,Crescent Point Energy Corp.,CA22576C1014,B67C8W8,CPG.TO,12/18/2023,25426958.9933083
265441,METHANEX,CA59151K1084,2654416,MX.TO,12/18/2023,4321774.85461693
266927,PAN AMER.SILV. (NYSE),CA6979001089,2703396,PAAS.N,12/18/2023,47266496.1594067
269954,AECON GROUP,CA00762V1094,2699547,ARE.TO,12/18/2023,1798486.29099843
271551,KEYERA CORP,CA4932711001,B3SGMV5,KEY.TO,12/18/2023,22079253.0268414
274642,Manulife Financial Corp.,CA56501R1064,2492519,MFC.TO,12/18/2023,116417959.796382
276132,ADVANTAGE ENERGY,CA00791P1071,BNW0WP7,AAV.TO,12/18/2023,2979226.19041218
